,images,labels
866,COVID-19_Radiography_Dataset/normal/Normal-5130.png,0
3283,COVID-19_Radiography_Dataset/normal/Normal-6793.png,0
3013,COVID-19_Radiography_Dataset/normal/Normal-1722.png,0
19937,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2556.png,3
12005,COVID-19_Radiography_Dataset/covid/COVID-3153.png,2
8284,COVID-19_Radiography_Dataset/normal/Normal-2935.png,0
4184,COVID-19_Radiography_Dataset/normal/Normal-2716.png,0
11794,COVID-19_Radiography_Dataset/covid/COVID-907.png,2
21003,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1309.png,3
13203,COVID-19_Radiography_Dataset/covid/COVID-151.png,2
15603,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5613.png,3
5244,COVID-19_Radiography_Dataset/normal/Normal-1181.png,0
503,COVID-19_Radiography_Dataset/normal/Normal-6781.png,0
21125,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1102.png,3
10845,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-1032.png,1
5348,COVID-19_Radiography_Dataset/normal/Normal-4760.png,0
20203,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4744.png,3
2522,COVID-19_Radiography_Dataset/normal/Normal-6880.png,0
19485,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3176.png,3
11108,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-348.png,1
18884,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2061.png,3
15615,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4618.png,3
6803,COVID-19_Radiography_Dataset/normal/Normal-4580.png,0
9758,COVID-19_Radiography_Dataset/normal/Normal-4999.png,0
19807,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-1162.png,3
19291,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-500.png,3
10807,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-908.png,1
8741,COVID-19_Radiography_Dataset/normal/Normal-607.png,0
6559,COVID-19_Radiography_Dataset/normal/Normal-6514.png,0
17791,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3732.png,3
3576,COVID-19_Radiography_Dataset/normal/Normal-10056.png,0
6628,COVID-19_Radiography_Dataset/normal/Normal-1598.png,0
12170,COVID-19_Radiography_Dataset/covid/COVID-2757.png,2
20883,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-5531.png,3
1416,COVID-19_Radiography_Dataset/normal/Normal-3731.png,0
7130,COVID-19_Radiography_Dataset/normal/Normal-3297.png,0
3552,COVID-19_Radiography_Dataset/normal/Normal-5706.png,0
14464,COVID-19_Radiography_Dataset/covid/COVID-1421.png,2
10653,COVID-19_Radiography_Dataset/viral_pneumonia/Viral Pneumonia-812.png,1
3583,COVID-19_Radiography_Dataset/normal/Normal-6407.png,0
13408,COVID-19_Radiography_Dataset/covid/COVID-981.png,2
15487,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-4555.png,3
9099,COVID-19_Radiography_Dataset/normal/Normal-5075.png,0
12262,COVID-19_Radiography_Dataset/covid/COVID-2090.png,2
10181,COVID-19_Radiography_Dataset/normal/Normal-3759.png,0
5598,COVID-19_Radiography_Dataset/normal/Normal-5363.png,0
18707,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-3898.png,3
19174,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2224.png,3
13907,COVID-19_Radiography_Dataset/covid/COVID-2004.png,2
8331,COVID-19_Radiography_Dataset/normal/Normal-6187.png,0
6106,COVID-19_Radiography_Dataset/normal/Normal-6148.png,0
2078,COVID-19_Radiography_Dataset/normal/Normal-5632.png,0
9192,COVID-19_Radiography_Dataset/normal/Normal-6104.png,0
19233,COVID-19_Radiography_Dataset/lung_opacity/Lung_Opacity-2411.png,3
